ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
tet(32)	3000196	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	14.00	0.00	14.00	82.81	1590.00	215.50	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
Mef(En2)	3004659	protein homolog model	CARD; Resistomes & Variants	8	98.75 - 100.0	YES	no data	Bacteroides fragilis; Phocaeicola vulgatus; Bacteroides caccae; Phocaeicola dorei; Bacteroides ovatus; Bacteroides thetaiotaomicron; Parabacteroides distasonis; Riemerella anatipestifer	668.00	0.00	668.00	43.74	527.50	202.52	0	0	0	0	N/A	N/A		1206; 1206; 1206; 1206; 1206; 1206; 1206; 1206	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
OXA-470	3003626	protein homolog model	CARD	1	100.0	no data	no data	Brachyspira pilosicoli	5.00	0.00	5.00	13.33	108.00	59.60	0	0	0	0	N/A	N/A		810	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
ADC-252	3006422	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter pittii	2.00	0.00	2.00	2.08	24.00	34.00	0	0	0	0	N/A	N/A		1152	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
BcIII	3007101	protein homolog model	Resistomes & Variants	2	72.15 - 90.19	NO	NO	Bacillus cereus	2.00	0.00	2.00	2.59	24.50	58.50	0	0	0	0	N/A	N/A		939; 951	class A Bacillus cereus Bc beta-lactamase	cephalosporin; penem	antibiotic inactivation
tet(O/M/O)	3007120	protein homolog model	Resistomes & Variants	1	97.97	YES	NO	Campylobacter jejuni	4.00	0.00	4.00	40.42	776.00	222.25	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
OXA-608	3005829	protein homolog model	Resistomes & Variants	1	99.55	NO	NO	Campylobacter jejuni	22.00	0.00	22.00	36.26	260.00	97.77	0	0	0	0	N/A	N/A		717	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
mel	3000616	protein homolog model	Resistomes & Variants	6	95.14 - 99.01	NO	NO	Phocaeicola vulgatus; Enterococcus faecium; Parabacteroides distasonis; Streptococcus suis; Streptococcus agalactiae	22.00	0.00	22.00	46.10	360.83	152.30	0	0	0	0	N/A	N/A		867; 309; 564; 1218; 1218; 1218	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
TEM-230	3005261	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Escherichia coli	15.00	0.00	15.00	100.00	168.00	58.07	0	0	0	0	N/A	N/A		168	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
evgA	3000832	protein homolog model	Resistomes & Variants	1	99.04	NO	NO	Escherichia coli	1.00	0.00	1.00	5.61	18.00	34.00	0	0	0	0	N/A	N/A		321	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic	antibiotic efflux
