ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
Erm(34)	3000600	protein homolog model	CARD	1	100.0	no data	no data	Alkalihalobacillus clausii	1.00	0.00	1.00	2.01	17.00	23.00	0	0	0	0	N/A	N/A		846	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
rmtH	3003198	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	7.38	56.00	39.50	0	0	0	0	N/A	N/A		759	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
LRA-9	3002488	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	6.00	0.00	6.00	15.89	144.00	58.33	0	0	0	0	N/A	N/A		906	subclass B3 LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
TEM-195	3001055	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	1.00	0.00	1.00	17.42	150.00	197.00	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
JOHN-1	3000840	protein homolog model	CARD	1	100.0	no data	no data	Flavobacterium johnsoniae	4.00	0.00	4.00	10.04	75.00	56.50	0	0	0	0	N/A	N/A		747	JOHN beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
vanL	3002910	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	4.00	0.00	4.00	4.00	42.00	39.50	0	0	0	0	N/A	N/A		1050	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
AAC(3)-VIIIa	3002542	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces fradiae	21.00	0.00	21.00	33.80	291.00	61.43	0	0	0	0	N/A	N/A		861	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
smeE	3003056	protein homolog model	CARD; Resistomes & Variants	34	95.38 - 100.0	YES	no data	Stenotrophomonas maltophilia	531.00	0.00	531.00	21.66	672.62	138.77	0	0	0	0	N/A	N/A		3123; 3123; 3123; 3123; 3123; 3123; 1665; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123; 3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
Erm(36)	3000605	protein homolog model	CARD	1	100.0	no data	no data	Micrococcus luteus	12.00	0.00	12.00	24.94	211.00	52.50	0	0	0	0	N/A	N/A		846	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
APH(2'')-Ig	3002669	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter coli	2.00	0.00	2.00	1.85	17.00	23.00	0	0	0	0	N/A	N/A		921	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
OXA-5	3001400	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	6.00	0.00	6.00	23.26	187.00	131.17	0	0	0	0	N/A	N/A		804	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
rphA	3000444	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces sp.	74.00	0.00	74.00	47.07	1223.00	110.82	0	0	0	0	N/A	N/A		2598	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
CGB-1	3000841	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium gleum	9.00	0.00	9.00	7.68	56.00	42.56	0	0	0	0	N/A	N/A		729	CGB beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
y56 beta-lactamase	3003558	protein homolog model	CARD	1	100.0	no data	no data	Yersinia enterocolitica	2.00	0.00	2.00	2.03	18.00	34.00	0	0	0	0	N/A	N/A		885	BlaA beta-lactamase	cephalosporin; penam	antibiotic inactivation
IND-1	3002256	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium indologenes	1.00	0.00	1.00	2.36	17.00	23.00	0	0	0	0	N/A	N/A		720	IND beta-lactamase	carbapenem	antibiotic inactivation
AAC(6')-Ib-SK	3002593	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces kanamyceticus	8.00	0.00	8.00	47.27	251.00	59.62	0	0	0	0	N/A	N/A		531	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
MOX-1	3002182	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	10.00	0.00	10.00	7.14	82.00	49.70	0	0	0	0	N/A	N/A		1149	MOX beta-lactamase	cephalosporin; cephamycin; penam	antibiotic inactivation
ANT(6)-Ib	3002629	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter fetus	19.00	0.00	19.00	19.00	163.00	54.58	0	0	0	0	N/A	N/A		858	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
AER-1	3002481	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	1.00	0.00	1.00	16.50	151.00	159.00	0	0	0	0	N/A	N/A		915	AER beta-lactamase	penam	antibiotic inactivation
lsaB	3003111	protein homolog model	CARD	1	100.0	no data	no data	Mammaliicoccus sciuri	24.00	0.00	24.00	16.02	237.00	57.79	0	0	0	0	N/A	N/A		1479	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
OXA-360	3001547	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter schindleri	1.00	0.00	1.00	2.05	17.00	23.00	0	0	0	0	N/A	N/A		831	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
APH(3')-IVa	3002648	protein homolog model	CARD	1	100.0	no data	no data	Niallia circulans	2.00	0.00	2.00	8.75	69.00	45.00	0	0	0	0	N/A	N/A		789	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
IND-9	3002265	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium indologenes	2.00	0.00	2.00	4.44	32.00	40.00	0	0	0	0	N/A	N/A		720	IND beta-lactamase	carbapenem	antibiotic inactivation
facT	3001313	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces sp.	22.00	0.00	22.00	36.37	611.00	94.68	0	0	0	0	N/A	N/A		1680	major facilitator superfamily (MFS) antibiotic efflux pump	elfamycin antibiotic	antibiotic efflux
Pseudomonas aeruginosa catB6	3002678	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	6.00	0.00	6.00	32.86	208.00	59.67	0	0	0	0	N/A	N/A		633	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
ErmW	3001306	protein homolog model	CARD	1	100.0	no data	no data	Micromonospora griseorubida	17.00	0.00	17.00	18.80	176.00	60.41	0	0	0	0	N/A	N/A		936	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
aadA11	3002611	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	8.00	0.00	8.00	8.98	76.00	99.25	0	0	0	0	N/A	N/A		846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
OXA-331	3001519	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus	1.00	0.00	1.00	2.07	17.00	23.00	0	0	0	0	N/A	N/A		822	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
aadA13	3002613	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	3.00	0.00	3.00	40.73	325.00	145.33	0	0	0	0	N/A	N/A		798	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
PEDO-2	3003714	protein homolog model	CARD	1	100.0	no data	no data	Pedobacter sp.	20.00	0.00	20.00	15.85	136.00	46.30	0	0	0	0	N/A	N/A		858	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
PEDO-3	3003715	protein homolog model	CARD	1	100.0	no data	no data	Pedobacter sp.	3.00	0.00	3.00	10.08	72.00	45.00	0	0	0	0	N/A	N/A		714	subclass B1 PEDO beta-lactamase	carbapenem	antibiotic inactivation
rphB	3003992	protein homolog model	CARD	1	100.0	no data	no data	Paenibacillus sp.	7.00	0.00	7.00	19.13	508.00	91.14	0	0	0	0	N/A	N/A		2655	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
