ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
TEM-126	3000988	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	35.08	302.00	198.50	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
TEM-59	3000928	protein homolog model	CARD; Resistomes & Variants	2	97.67 - 100.0	no data	no data	Klebsiella oxytoca; Klebsiella pneumoniae	28.00	0.00	28.00	65.59	311.00	160.31	0	0	0	0	N/A	N/A		831; 363	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
TEM-132	3000996	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	3.00	0.00	3.00	28.69	247.00	179.00	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
TEM-102	3000965	protein homolog model	CARD; Resistomes & Variants	3	98.02 - 100.0	no data	no data	Plasmid pWW100; Klebsiella pneumoniae; Ralstonia solanacearum	41.00	0.00	41.00	78.77	347.33	187.63	0	0	0	0	N/A	N/A		861; 303; 306	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
TEM-116	3000979	protein homolog model	CARD; Resistomes & Variants	33	98.2 - 100.0	no data	YES	Staphylococcus aureus; Acinetobacter haemolyticus; Escherichia coli; Escherichia marmotae; Enterococcus faecalis; Pseudomonas syringae; Klebsiella pneumoniae; Cronobacter sakazakii; Vibrio vulnificus; Faecalibacterium prausnitzii; Mycobacterium tuberculosis; Enterobacter hormaechei; Pseudomonas brassicacearum; Klebsiella michiganensis; Staphylococcus simulans; Pseudomonas aeruginosa; Staphylococcus capitis; Acinetobacter baumannii; Staphylococcus equorum; Aeromonas veronii; Bifidobacterium dentium	69383.00	0.00	69383.00	63.65	431.03	179.69	0	0	0	0	N/A	N/A		861; 117; 861; 408; 861; 861; 543; 345; 225; 861; 861; 861; 861; 861; 786; 396; 741; 495; 861; 861; 528; 711; 861; 414; 744; 861; 846; 861; 861; 654; 540; 843; 882	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
AAC(6')-Iu	3002565	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter dispersus	5.00	0.00	5.00	33.11	146.00	72.00	0	0	0	0	N/A	N/A		441	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
TEM-183	3001045	protein homolog model	CARD; Resistomes & Variants	4	98.7 - 100.0	no data	no data	Klebsiella pneumoniae; Escherichia coli	38.00	0.00	38.00	49.20	232.75	177.53	0	0	0	0	N/A	N/A		861; 282; 372; 327	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
TEM-198	3001057	protein homolog model	CARD; Resistomes & Variants	3	100.0	no data	YES	Klebsiella pneumoniae; Providencia stuartii	214.00	0.00	214.00	34.40	272.00	199.11	0	0	0	0	N/A	N/A		861; 771; 783	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
IMP-12	3002203	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas putida	21.00	0.00	21.00	29.42	218.00	61.10	0	0	0	0	N/A	N/A		741	IMP beta-lactamase	carbapenem; cephalosporin; cephamycin; penam; penem	antibiotic inactivation
TEM-195	3001055	protein homolog model	CARD; Resistomes & Variants	2	98.8 - 100.0	no data	no data	Acinetobacter baumannii; Escherichia coli	26.00	0.00	26.00	47.44	220.00	189.15	0	0	0	0	N/A	N/A		861; 252	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
